Species,Order,Suborder,Family,Genus,Description author/s,Description year,Subspecies,Main biogeographic region,Microhabitat,Habitat type,Minimal elevation (m),Maximum elevation (m),Mean Annual Temperature (°C),Temperature Seasonality (standard deviation*100),Seasonality Precipitation (coefficient of variation × 100),Insular/endemic (yes or no),Venomous (yes or no),Diet,Diet: comments,Active time,Dorsal colour,Dorsal pattern,Foraging mode,Pupil Shape,Fangs,Maximum Longevity (years),Maximum body mass (g),"Maximum total length (""TL"", mm)","Maximum length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)","Maximum female length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)","Maximum male length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)","Maximum juvenile length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)",Hatchling/neonate mass (g),Reproductive mode,Sex-determining mechanism (GSD or TSD),Mean number of offspring per litter or number of eggs per clutch,Smallest clutch size,Largest clutch size,Number of litters or clutches produced per year,Egg length (mm),Egg width (mm),Mean Tb,Minimum Tb,Maximum Tb,Genetic data (yes or not),IUCN redlist assessment,IUCN population trend
Ablepharus alaicus,Squamata,Sauria,Scincidae,Ablepharus,Elpatjevsky,1901,"Ablepharus alaicus kucenkoi NIKOLSKY 1902
Ablepharus alaicus alaicus ELPATJEVSKY 1901
Ablepharus alaicus yakovlevae (EREMCHENKO 1983)",Saharo-Sindian,Saxicolous/Terrestrial,NA,NA,NA,NA,NA,NA,No,No,Carnivorous,"Arthropods (""insects (beetles, flies,AndAnts)And spiders."" Szczerbak 2003)",Diurnal,NA,NA,NA,NA,non-fanged,NA,NA,NA,65,NA,NA,22.1,NA,viviparous,NA,NA,2,7,NA,No,No,NA,NA,NA,Yes,NA,NA
Ablepharus anatolicus,Squamata,Sauria,Scincidae,Ablepharus,Schmidtler,1997,No,Saharo-Sindian,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Ablepharus bivittatus,Squamata,Sauria,Scincidae,Ablepharus,Menetries,1832,No,Saharo-Sindian,Saxicolous,Forest/Grassland/Shrubland,600,2900,13.79,8900.4,26.218045,No,No,Carnivorous,"Invertebrates (""Food consists mainly of insects (beetles, hymenopterans,And cicadas), spiders,And snails"", Szczerbak 2003)",Diurnal,NA,NA,NA,NA,non-fanged,NA,4.3651583220000001,NA,61,56.5,NA,18.5,NA,oviparous,NA,4,2,5,NA,NA,NA,NA,NA,NA,No,Least Concern,Decreasing
Ablepharus budaki,Squamata,Sauria,Scincidae,Ablepharus,"Göcmen, Kumlutas & Tosunoglu",1996,No,Saharo-Sindian,Terrestrial,Forest/Shrubland,0,1700,NA,NA,20.610880999999999,No,No,Carnivorous,Invertebrates,Diurnal,NA,NA,NA,NA,non-fanged,NA,2.0124632366227755,NA,48,36.799999999999997,NA,NA,NA,oviparous,NA,3.5,2,5,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Stable
Ablepharus chernovi,Squamata,Sauria,Scincidae,Ablepharus,Darevsky,1953,"Ablepharus chernovi chernovi DAREVSKY 1953
Ablepharus chernovi eiselti SCHMIDTLER 1997
Ablepharus chernovi isauriensis SCHMIDTLER 1997
Ablepharus chernovi ressli SCHMIDTLER 1997",Saharo-Sindian,Saxicolous,Forest/Grassland/Shrubland,150,1700,NA,NA,16.744423000000001,No,No,Carnivorous,"Arthropods (""ants, flies,Aphids, small beetles,And spiders."", Szczerbak 2003)",Diurnal,NA,NA,NA,NA,non-fanged,NA,2.9512092270000001,NA,54,44.4,NA,NA,NA,oviparous,NA,3.5,3,4,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Stable
Ablepharus darvazi,Squamata,Sauria,Scincidae,Ablepharus,Eremchenko & Panfilov,1990,No,Saharo-Sindian,NA,Forest/Shrubland,NA,NA,NA,NA,NA,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,1.5195279483489117,NA,44,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Unknown
Ablepharus deserti,Squamata,Sauria,Scincidae,Ablepharus,Strauch,1868,No,Saharo-Sindian,Terrestrial,Desert/Forest/Shrubland/Wetlands,40,3000,8.52,9932.6,21.804300999999999,No,No,Carnivorous,"Arthropods (""beetles, caterpillars,And cicadas)And spiders"" Szczerbak 2003)",Diurnal,NA,NA,NA,NA,non-fanged,NA,3.89045145,NA,58.8,46,NA,17.5,NA,oviparous,NA,4.5,1,8,NA,NA,NA,NA,NA,NA,No,Least Concern,Unknown
Ablepharus eremchenkoi,Squamata,Sauria,Scincidae,Ablepharus,Panfilov,1999,No,Saharo-Sindian,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,NA,NA,59.8,50,NA,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Least Concern,Stable
Ablepharus grayanus,Squamata,Sauria,Scincidae,Ablepharus,Stoliczka,1872,No,Saharo-Sindian,Terrestrial,Desert/Grassland/Rocky/Wetlands,222,2710,NA,NA,44.079571999999999,No,No,Carnivorous,Insects (MostlyAnts),Diurnal,NA,NA,NA,NA,non-fanged,NA,0.72443595999999999,NA,34.9,NA,NA,14.5,NA,oviparous,NA,1.5,1,2,NA,NA,NA,NA,NA,NA,No,NA,NA
Ablepharus himalayanus,Squamata,Sauria,Scincidae,Ablepharus,Günther,1864,No,Saharo-Sindian,Terrestrial,NA,NA,NA,NA,NA,NA,No,No,Carnivorous,"Arthropods (SchleichAnd Kastle 2002, Kastle etAl. 2013)",Diurnal,NA,NA,NA,NA,non-fanged,NA,1.19,NA,70.5,61.8,NA,NA,NA,ovoviviparous,NA,3,1,4,NA,NA,NA,27.5,NA,NA,No,NA,NA
Ablepharus kitaibelii,Squamata,Sauria,Scincidae,Ablepharus,Bibron & Bory St-Vincent,1833,"Ablepharus kitaibelii kitaibelii (BIBRON & BORY 1833)
Ablepharus kitaibelii fabichi STEPANEK 1937
Ablepharus kitaibelii fitzingeri MERTENS 1952
Ablepharus kitaibelii stepaneki FUHN 1970",Saharo-Sindian,Terrestrial,Forest/Grassland/Shrubland,0,2000,11.91,7460.9,18.593809,No,No,Carnivorous,"Invertebrates (spidersAnd earthworms, Street 1979, Rogner 1997b), small invertebrates (StilleAnd Stille 2017)",Diurnal,NA,NA,NA,NA,non-fanged,4,4.7863009229999998,NA,58,43.4,NA,20,NA,oviparous,NA,2.8,2,6,NA,NA,NA,27,NA,NA,Yes,Least Concern,Stable
Ablepharus ladacensis,Squamata,Sauria,Scincidae,Ablepharus,Günther,1864,"Ablepharus ladacensis ladacensis (GÜNTHER 1864)
Ablepharus ladacensis stimsoni (EREMCENKO 1992)",Oriental,Saxicolous/Terrestrial,NA,NA,NA,NA,NA,NA,No,No,Carnivorous,"invertebrates (Khan 2006), insects (DasAnd Das 2017)",Diurnal,NA,NA,NA,NA,non-fanged,NA,NA,NA,70.5,47,NA,NA,NA,ovoviviparous,NA,NA,1,4,NA,NA,NA,NA,NA,NA,No,NA,NA
Ablepharus lindbergi,Squamata,Sauria,Scincidae,Ablepharus,Wettstein,1960,No,Saharo-Sindian,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,2.2960119495072551,NA,50,NA,NA,NA,NA,NA,NA,4.5,4,5,NA,NA,NA,NA,NA,NA,No,Least Concern,Unknown
Ablepharus mahabharatus,Squamata,Sauria,Scincidae,Ablepharus,"Eremchenko, Shah & Panfilov",1998,No,Oriental,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Ablepharus nepalensis,Squamata,Sauria,Scincidae,Ablepharus,Eremchenko & Helfenberger,1998,No,Oriental,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,NA,NA,41,41,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Ablepharus pannonicus,Squamata,Sauria,Scincidae,Ablepharus,Lichtenstein,1823,No,Saharo-Sindian,Terrestrial,Desert/Forest/Grassland/Rocky/Shrubland,300,2800,NA,NA,30.977862999999999,No,No,Carnivorous,"Arthropods (beetlesAnd spiders, Szczerbak 2003)",Diurnal,NA,NA,NA,NA,non-fanged,NA,3.0902954330000001,NA,55,NA,NA,20,NA,oviparous,NA,4,2,6,NA,NA,NA,NA,NA,NA,Yes,NA,NA
Ablepharus rueppellii,Squamata,Sauria,Scincidae,Ablepharus,Gray,1839,"Ablepharus rueppellii rueppellii (GRAY 1839)
Ablepharus rueppellii festae PERACCA 1894",Saharo-Sindian,Terrestrial,Forest/Shrubland/Wetlands,0,1660,18.75,5935.1,31.401285999999999,No,No,Carnivorous,arthropods (AmitaiAnd Bouskila 2001),Diurnal,NA,NA,NA,NA,non-fanged,8.3000000000000007,2.6302679919999998,NA,52,35.299999999999997,NA,18.5,NA,oviparous,NA,1.8,1,6,1,NA,NA,29.5,NA,NA,Yes,Least Concern,Unknown
Ablepharus sikimmensis,Squamata,Sauria,Scincidae,Ablepharus,Blyth,1854,No,Oriental,Terrestrial,NA,NA,NA,NA,NA,NA,No,No,Carnivorous,"Arthropods (e.g., Kastle etAl. 2013), insectivorous (IUCN Bangladesh 2015)",Diurnal,NA,NA,ACT,NA,non-fanged,NA,NA,NA,55.8,51.4,NA,19,NA,oviparous,NA,5,2,8,NA,NA,NA,29,NA,NA,Yes,NA,NA
Ablepharus tragbulensis,Squamata,Sauria,Scincidae,Ablepharus,Alcock,1898,No,Saharo-Sindian,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,NA,NA,56.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Abronia antauges,Squamata,Sauria,Anguidae,Abronia,Cope,1866,No,Neotropic,Terrestrial,NA,NA,NA,NA,NA,NA,No,No,Carnivorous,insects in captivity (Solano-Zavaleta etAl. 2017),Diurnal,NA,NA,NA,NA,non-fanged,NA,NA,NA,85.2,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Unknown
Abronia anzuetoi,Squamata,Sauria,Anguidae,Abronia,Campbell & Frost,1993,No,Neotropic,Arboreal,Forest,1220,2290,NA,NA,16.614263999999999,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,44.668359219999999,NA,135,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Vulnerable,Unknown
Abronia aurita,Squamata,Sauria,Anguidae,Abronia,Cope,1869,No,Neotropic,Arboreal,Forest,1800,2660,18.079999999999998,1026.0999999999999,19.582501000000001,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,33.884415609999998,NA,125,111,NA,33,NA,viviparous,NA,12,12,12,NA,No,No,NA,NA,NA,Yes,Endangered,Unknown
Abronia bogerti,Squamata,Sauria,Anguidae,Abronia,Tihen,1954,No,Neotropic,Arboreal,Forest,NA,NA,NA,NA,NA,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,9.649993017806624,NA,94,87,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Data Deficient,Unknown
Abronia campbelli,Squamata,Sauria,Anguidae,Abronia,Brodie & Savage,1993,No,Neotropic,Arboreal,Forest,1800,1900,NA,NA,18.182780999999999,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,36.307805479999999,NA,127,114,NA,NA,NA,viviparous,NA,8,4,12,NA,No,No,NA,NA,NA,Yes,Critically Endangered,Decreasing
Abronia chiszari,Squamata,Sauria,Anguidae,Abronia,Smith & Smith,1981,No,Neotropic,Arboreal,Forest,440,1000,NA,NA,14.686078,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,18.62087137,NA,105,96,NA,41,NA,viviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Endangered,Decreasing
Abronia cuchumatanus,Squamata,Sauria,Anguidae,Abronia,"Solano-Zavaleta, Nieto-Montes De Oca & Campbell",2016,No,Neotropic,Terrestrial,NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,NA,NA,72,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Abronia cuetzpali,Squamata,Sauria,Anguidae,Abronia,"Campbell, Solano-Zavaleta, Flores-Villela, Caviedes-Solis & Frost",2016,No,Neotropic,Terrestrial,NA,NA,NA,NA,NA,NA,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,NA,NA,115,114,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Abronia deppii,Squamata,Sauria,Anguidae,Abronia,Wiegmann,1828,No,Neotropic,Arboreal,Forest,2000,2620,16.7,1619.4,16.852547000000001,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,30.199517199999999,NA,121,63,NA,34.200000000000003,NA,viviparous,NA,6,6,6,NA,No,No,NA,NA,NA,Yes,Endangered,Decreasing
Abronia fimbriata,Squamata,Sauria,Anguidae,Abronia,Cope,1885,No,Neotropic,Arboreal,Forest,1400,2100,20.12,1343,14.913505000000001,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,38.904514499999998,NA,130,101.5,NA,32,NA,viviparous,NA,4,4,4,NA,No,No,NA,NA,NA,Yes,Endangered,Unknown
Abronia frosti,Squamata,Sauria,Anguidae,Abronia,"Campbell, Sasa, Acevedo & Mendelson",1998,No,Neotropic,Arboreal,Forest,2800,2835,NA,NA,19.033760999999998,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,21.877616239999998,NA,110,94.8,NA,NA,NA,viviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Critically Endangered,Decreasing
Abronia fuscolabialis,Squamata,Sauria,Anguidae,Abronia,Tihen,1944,No,Neotropic,Arboreal,Forest,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,27.870796829628752,NA,118,NA,NA,37,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Endangered,Decreasing
Abronia gadovii,Squamata,Sauria,Anguidae,Abronia,Boulenger,1913,"Abronia gadovii gadovii (BOULENGER 1913)
Abronia gadovii levigata TIHEN 1949",Neotropic,Arboreal/Terrestrial,NA,NA,NA,NA,NA,NA,No,No,Carnivorous,insectsAnd juvenile lizards (Santos-Bibiano etAl. 2016),NA,NA,NA,ACT,NA,non-fanged,NA,NA,NA,107,83.6,NA,28.7,NA,viviparous,NA,NA,2,12,NA,No,No,NA,NA,NA,Yes,Least Concern,Stable
Abronia gaiophantasma,Squamata,Sauria,Anguidae,Abronia,Campbell & Frost,1993,No,Neotropic,Arboreal,Forest,NA,NA,NA,NA,NA,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,21.829638526246136,NA,110,71,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Endangered,Unknown
Abronia graminea,Squamata,Sauria,Anguidae,Abronia,Cope,1864,No,Neotropic,Arboreal,Forest,1350,2750,14.94,1901,16.579504,No,No,Carnivorous,"carnivorous (CooperAnd Bradley 2009 discuss prey discrimination),ArthropodsAnd lizards (Zaldivar Riveron etAl. 2002)",Diurnal,NA,NA,NA,NA,non-fanged,10,22.387211390000001,NA,110.7,104.8,NA,34,NA,viviparous,NA,5.0318877551020407,1,12,NA,No,No,NA,NA,NA,Yes,Endangered,Decreasing
Abronia juarezi,Squamata,Sauria,Anguidae,Abronia,Karges & Wright,1987,No,Neotropic,Terrestrial,NA,NA,NA,NA,NA,NA,No,No,Carnivorous,foraging (Zaldivar Riveron etAl. 2002),Diurnal,NA,NA,ACT,NA,non-fanged,NA,NA,NA,77,70.099999999999994,NA,25,NA,viviparous,NA,NA,3,3,NA,No,No,NA,NA,NA,No,Endangered,Decreasing
Abronia leurolepis,Squamata,Sauria,Anguidae,Abronia,Campbell & Frost,1993,No,Neotropic,Arboreal,Forest,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,18.566872742444197,NA,105,105,NA,NA,NA,NA,NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Data Deficient,Unknown
Abronia lythrochila,Squamata,Sauria,Anguidae,Abronia,Smith & Alvarez Del Toro,1963,No,Neotropic,Arboreal,Forest,1840,3000,NA,NA,18.629595999999999,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,29.51209227,NA,120,NA,NA,NA,NA,viviparous,GSD (ZW/ZZ),9.5,1,18,NA,No,No,NA,NA,NA,Yes,Least Concern,Stable
Abronia martindelcampoi,Squamata,Sauria,Anguidae,Abronia,Flores-Villela & Sánchez-H.,2003,No,Neotropic,NA,Forest,2100,2600,NA,NA,18.110333000000001,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,25.70395783,NA,115,NA,NA,NA,NA,viviparous,NA,4,2,6,NA,No,No,NA,NA,NA,No,Endangered,Decreasing
Abronia matudai,Squamata,Sauria,Anguidae,Abronia,Hartweg & Tihen,1946,No,Neotropic,Arboreal,Forest,1950,2630,NA,NA,12.992138000000001,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,21.877616239999998,NA,110,88,NA,NA,NA,viviparous,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Endangered,Unknown
Abronia meledona,Squamata,Sauria,Anguidae,Abronia,Campbell & Brodie,1999,No,Neotropic,Arboreal,Forest,2200,2660,16.3,1013,24.680558999999999,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,29.51209227,NA,120,107.5,NA,30.5,NA,viviparous,NA,14,12,16,NA,No,No,NA,NA,NA,No,Endangered,Unknown
Abronia mitchelli,Squamata,Sauria,Anguidae,Abronia,Campbell,1982,No,Neotropic,NA,Forest,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,18.566872742444197,NA,105,105,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Unknown
Abronia mixteca,Squamata,Sauria,Anguidae,Abronia,Bogert & Porter,1967,No,Neotropic,Arboreal,Forest,2130,2530,NA,NA,20.106189000000001,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,4.7,61.659500190000003,NA,148,NA,NA,NA,NA,viviparous,NA,7,7,7,NA,No,No,NA,NA,NA,Yes,Vulnerable,Decreasing
Abronia montecristoi,Squamata,Sauria,Anguidae,Abronia,Hidalgo,1983,No,Neotropic,Arboreal,Forest,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,12.170843021526306,NA,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Endangered,Decreasing
Abronia monticola,Squamata,Sauria,Anguidae,Abronia,Cope,1878,No,Neotropic,Terrestrial,NA,NA,NA,NA,NA,NA,No,No,Carnivorous,"ArthropodsAnd young vertebrates (e.g., Savage 2002)",Diurnal,NA,NA,AMB,NA,non-fanged,NA,NA,NA,88,74.5,NA,25,NA,viviparous,NA,NA,2,10,NA,No,No,23.7,NA,NA,No,Least Concern,Stable
Abronia moreletii,Squamata,Sauria,Anguidae,Abronia,Bocourt,1872,"Abronia moreletii moreletii (BOCOURT 1872)
Abronia moreletii rafaeli (HARTWEG & TIHEN 1946)
Abronia moreletii salvadorensis (SCHMIDT 1928)
Abronia moreletii temporalis (HARTWEG & TIHEN 1946)",Neotropic,Terrestrial,NA,NA,NA,NA,NA,NA,No,No,Carnivorous,"Arthropods (e.g., LeendersAnd Watkins-Colwell 2004)",Diurnal,NA,NA,NA,NA,non-fanged,NA,NA,NA,96,82,NA,30.5,NA,viviparous,NA,6.5,3,10,NA,No,No,NA,NA,NA,Yes,Least Concern,Stable
Abronia morenica,Squamata,Sauria,Anguidae,Abronia,"Clause, Luna-Reyes & Nieto-Montes De Oca",2020,No,Neotropic,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Abronia oaxacae,Squamata,Sauria,Anguidae,Abronia,Günther,1885,No,Neotropic,Arboreal,Forest,2100,2750,NA,NA,20.054098,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,26.915348040000001,NA,117,NA,NA,NA,NA,viviparous,NA,1,1,1,NA,No,No,NA,NA,NA,Yes,Vulnerable,Decreasing
Abronia ochoterenai,Squamata,Sauria,Anguidae,Abronia,Martin Del Campo,1939,No,Neotropic,Arboreal,Forest,1800,2300,17.45,1363,19.141302,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,24.547089159999999,NA,113.5,108.8,NA,30,NA,viviparous,NA,13,13,13,NA,No,No,NA,NA,NA,Yes,Data Deficient,Unknown
Abronia ornelasi,Squamata,Sauria,Anguidae,Abronia,Campbell,1984,No,Neotropic,Arboreal,Forest,NA,NA,NA,NA,15.394698,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,14.12537545,NA,97,71,NA,NA,NA,viviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Data Deficient,Unknown
Abronia ramirezi,Squamata,Sauria,Anguidae,Abronia,Campbell,1994,No,Neotropic,Arboreal,Forest,NA,NA,NA,NA,NA,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,12.170843021526306,NA,93,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Data Deficient,Unknown
Abronia reidi,Squamata,Sauria,Anguidae,Abronia,Werler & Shannon,1961,No,Neotropic,Arboreal,Forest,NA,NA,NA,NA,NA,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,15.667510701081508,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Data Deficient,Unknown
Abronia salvadorensis,Squamata,Sauria,Anguidae,Abronia,Hidalgo,1983,No,Neotropic,Arboreal,Forest,NA,NA,NA,NA,NA,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,12.632372703002229,NA,94,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Endangered,Decreasing
Abronia smithi,Squamata,Sauria,Anguidae,Abronia,Campbell & Frost,1993,No,Neotropic,Arboreal,Forest,1800,2800,NA,NA,15.854763999999999,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,21.877616239999998,NA,110,99,NA,NA,NA,viviparous,NA,3.5,3,4,NA,No,No,NA,NA,NA,Yes,Least Concern,Stable
Abronia taeniata,Squamata,Sauria,Anguidae,Abronia,Wiegmann,1828,No,Neotropic,Arboreal,Forest,120,2410,17.62,2889,18.886617999999999,No,No,Carnivorous,grasshoppers in captivity (DixonAnd Lemos-Espinal 2010),NA,NA,NA,ACT,NA,non-fanged,NA,47.863009230000003,NA,138,94.5,NA,31,NA,viviparous,NA,6.4,3,10,NA,No,No,NA,NA,NA,Yes,Vulnerable,Decreasing
Abronia vasconcelosii,Squamata,Sauria,Anguidae,Abronia,Bocourt,1872,No,Neotropic,Arboreal,Forest,2100,2200,NA,NA,18.585311000000001,No,No,Carnivorous,insects in captivity (Formanowicz etAl. 1990),Diurnal,NA,NA,NA,NA,non-fanged,NA,29.51209227,NA,120,110.2,NA,NA,NA,viviparous,NA,NA,NA,NA,NA,No,No,NA,NA,NA,No,Vulnerable,Decreasing
Abronia viridiflava,Squamata,Sauria,Anguidae,Abronia,Bocourt,1873,No,Neotropic,Terrestrial,NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,NA,NA,75,NA,NA,NA,NA,viviparous,NA,NA,NA,NA,NA,No,No,NA,NA,NA,No,Least Concern,Stable
Abronia zongolica,Squamata,Sauria,Anguidae,Abronia,"García-Vázquez, Clause, Gutiérrez- Rodríguez, Cazares-Hernández & Torre-Loranca",2022,No,Neotropic,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Acanthocercus adramitanus,Squamata,Sauria,Agamidae,Acanthocercus,Anderson,1896,No,Saharo-Sindian,Arboreal/Saxicolous/Terrestrial,Rocky,NA,NA,NA,NA,59.299886000000001,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,134.89628830000001,NA,157,NA,NA,NA,NA,oviparous,NA,8,4,12,NA,NA,NA,NA,NA,NA,No,Least Concern,Stable
Acanthocercus annectans,Squamata,Sauria,Agamidae,Acanthocercus,Blanford,1870,No,Afrotropic,Saxicolous,Forest/Rocky/Savanna/Wetlands,0,2800,NA,NA,29.336186999999999,No,No,Carnivorous,Arthropods (mostlyArthropods (Kenya ReptileAtlas (http://kenyareptileatlas.com/),Diurnal,NA,NA,NA,NA,non-fanged,NA,123.0269,NA,152,132,NA,NA,NA,oviparous,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Unknown
Acanthocercus atricollis,Squamata,Sauria,Agamidae,Acanthocercus,Smith,1849,No,Afrotropic,Arboreal,Savanna,0,3000,21.84,1863.7,19.590468999999999,No,No,Carnivorous,"Arthropods (beatles, flying insects ""and even small vertebrates"", Branch 2005, seeAlso Haagner etAl. 2000), mostlyAntsAnd termites ( Pienaar 1966)",Diurnal,NA,NA,AMB,NA,non-fanged,10.916666666666666,177.82794100000001,NA,171,113.9,NA,34,NA,oviparous,NA,11.36,1,17,1,NA,NA,39.849999999999994,NA,NA,Yes,Least Concern,Stable
Acanthocercus branchi,Squamata,Sauria,Agamidae,Acanthocercus,"Wagner, Greenbaum & Bauer",2012,No,Afrotropic,Arboreal,Savanna,NA,NA,NA,NA,NA,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,130.31065352027721,NA,155,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Acanthocercus ceriacoi,Squamata,Sauria,Agamidae,Acanthocercus,"Marques, Parrinha, Santos, Bandeira, Butler, Sousa, Bauer & Wagner",2022,No,Afrotropic,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Acanthocercus cyanocephalus,Squamata,Sauria,Agamidae,Acanthocercus,Falk,1925,No,Afrotropic,NA,Savanna,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
